"season_order","position","ab","gp","pa","singles","doubles","triples","hr","tb","r","rbi","bb","ibb","so","hbp","sf","sh","gidp","sb","cs","ba","obp","slg","ops","k_percent","bb_percent","player_id"
205,BAL,1,162,,648,112,39,3,32,103,82,34,0,126,13,2,0,15,16,7,0,0,0,0,0,0,5
206,NYY,1,94,,233,25,7,0,14,27,34,28,1,71,5,3,0,2,0,0,0,0,0,0,0,0,5
207,ATL,1,112,,387,74,23,0,14,58,62,57,6,51,1,3,0,15,1,0,0,0,0,0,0,0,5
208,PIT,1,145,,475,72,28,3,27,68,86,33,2,103,0,7,0,3,2,0,0,0,0,0,0,0,5
209,TBR,1,124,,399,58,18,3,17,55,59,55,4,102,6,1,1,10,4,3,0,0,0,0,0,0,5
210,OAK,1,39,,128,17,9,0,4,13,14,10,0,28,1,0,0,6,1,0,0,0,0,0,0,0,5
211,BOS,1,36,,96,19,3,0,0,12,5,6,0,26,0,1,0,4,3,2,0,0,0,0,0,0,5
212,SEA,1,61,,104,19,1,0,0,13,7,8,0,18,1,0,2,2,2,2,0,0,0,0,0,0,5
213,MIA,1,87,,147,26,6,0,4,21,16,22,1,44,6,0,0,8,2,1,0,0,0,0,0,0,5
214,DET,1,75,,113,17,2,1,1,14,7,14,0,22,0,0,0,2,2,0,0,0,0,0,0,0,5
215,LAD,1,106,,403,75,22,2,23,74,69,40,8,103,3,3,0,10,9,4,0,0,0,0,0,0,5
216,LAA,1,147,,550,115,32,3,8,57,67,29,1,115,4,5,6,26,14,6,0,0,0,0,0,0,5
217,LAD,1,86,,168,33,8,1,2,22,16,23,1,33,1,5,4,5,1,1,0,0,0,0,0,0,5
